Date,Open,High,Low,Close,Adj Close,Volume
2022-10-12,40.240002,41.220001,39.959999,40.509998,39.995632,16469900
2022-10-13,39.750000,42.669998,39.750000,42.380001,41.841892,23808700
2022-10-14,43.799999,44.930000,43.130001,43.169998,42.621857,33954200
2022-10-17,44.660000,45.189999,43.889999,43.959999,43.401825,24507000
2022-10-18,45.110001,45.299999,43.820000,44.669998,44.102814,24810400
2022-10-19,44.180000,44.520000,43.299999,43.619999,43.066143,17876800
2022-10-20,43.680000,44.430000,43.500000,43.650002,43.095764,17572700
2022-10-21,43.639999,44.880001,43.570000,44.830002,44.260784,18632800
2022-10-24,44.950001,45.529999,44.830002,45.200001,44.626083,16154300
2022-10-25,44.779999,45.599998,44.369999,45.369999,44.793922,16362200
2022-10-26,45.660000,46.209999,45.470001,45.700001,45.119736,15010800
2022-10-27,46.020000,46.490002,45.549999,45.650002,45.070370,14655500
2022-10-28,45.910000,46.490002,45.470001,46.349998,45.761482,14990400
2022-10-31,46.139999,46.520000,45.980000,45.990002,45.406055,14000000
2022-11-01,46.580002,47.060001,46.259998,46.950001,46.353863,22409100
2022-11-02,46.880001,47.549999,46.490002,46.880001,46.284752,29246700
2022-11-03,46.200001,46.200001,45.410000,45.540001,45.251347,17140100
2022-11-04,46.330002,46.910000,45.900002,46.740002,46.443741,27082500
2022-11-07,47.130001,47.820000,46.810001,47.070000,46.771648,17713300
2022-11-08,47.250000,47.470001,46.720001,47.180000,46.880951,14842700
2022-11-09,46.799999,47.000000,45.950001,45.970001,45.678623,18318700
2022-11-10,47.020000,48.110001,46.930000,47.950001,47.646072,23091900
2022-11-11,48.099998,48.360001,47.330002,47.549999,47.248604,18076600
2022-11-14,47.200001,47.570000,46.869999,46.869999,46.572914,13929900
2022-11-15,47.380001,47.509998,46.240002,46.709999,46.413929,19076000
2022-11-16,46.669998,46.849998,46.029999,46.209999,45.917099,14713300
2022-11-17,45.720001,46.169998,45.470001,45.990002,45.698494,11350900
2022-11-18,46.720001,46.770000,45.970001,46.500000,46.205261,10515300
2022-11-21,46.380001,47.090000,46.380001,46.840000,46.543106,11656800
2022-11-22,47.130001,47.400002,46.910000,47.110001,46.811394,11684900
2022-11-23,47.119999,47.500000,46.990002,47.330002,47.030003,10878500
2022-11-25,47.360001,47.639999,47.020000,47.439999,47.139301,4913300
2022-11-28,47.119999,47.750000,46.919998,46.980000,46.682217,12492600
2022-11-29,47.180000,47.650002,47.040001,47.570000,47.268478,13344900
2022-11-30,47.320000,47.950001,46.139999,47.950001,47.646072,26417000
2022-12-01,47.930000,48.180000,46.459999,46.869999,46.572914,15980300
2022-12-02,46.389999,46.520000,44.880001,45.939999,45.648808,29820400
2022-12-05,45.700001,45.880001,43.619999,43.660000,43.383263,32574600
2022-12-06,43.680000,43.849998,42.660000,43.400002,43.124912,25961400
2022-12-07,43.090000,43.340000,42.439999,42.450001,42.180931,24114900
2022-12-08,42.709999,42.889999,42.110001,42.580002,42.310108,17161400
2022-12-09,42.330002,42.919998,42.320000,42.500000,42.230614,16023700
2022-12-12,42.599998,42.930000,42.110001,42.860001,42.588333,18428900
2022-12-13,43.880001,44.080002,42.110001,42.619999,42.349854,31496000
2022-12-14,42.590000,43.230000,41.950001,42.180000,41.912643,22044400
2022-12-15,41.419998,41.709999,41.009998,41.369999,41.107777,16766600
2022-12-16,41.029999,41.450001,40.849998,41.189999,40.928917,29836200
2022-12-19,41.340000,41.910000,41.110001,41.820000,41.554924,17454200
2022-12-20,41.290001,42.560001,40.970001,40.980000,40.720249,25415400
2022-12-21,41.360001,41.639999,40.919998,41.119999,40.859360,20170800
2022-12-22,40.709999,40.740002,40.020000,40.680000,40.422150,17382700
2022-12-23,40.689999,41.000000,40.450001,40.980000,40.720249,10167500
2022-12-27,41.009998,41.139999,40.610001,41.040001,40.779869,10297400
2022-12-28,40.939999,41.380001,40.860001,41.119999,40.859360,11889400
2022-12-29,41.150002,41.400002,41.060001,41.330002,41.068031,11597100
2022-12-30,41.110001,41.430000,40.990002,41.290001,41.028286,10021500
2023-01-03,41.610001,42.139999,41.450001,41.790001,41.525116,15944300
2023-01-04,42.259998,43.060001,42.230000,42.650002,42.379665,18943600
2023-01-05,42.580002,42.630001,41.930000,42.419998,42.151119,12380700
2023-01-06,42.590000,43.000000,42.099998,42.799999,42.528713,15247000
2023-01-09,43.119999,43.130001,42.160000,42.389999,42.121311,21225600
2023-01-10,42.669998,42.880001,42.020000,42.360001,42.091503,18348800
2023-01-11,42.380001,42.830002,42.020000,42.740002,42.469093,18272100
2023-01-12,43.049999,43.549999,42.799999,42.830002,42.558525,20940400
2023-01-13,41.380001,44.360001,40.459999,44.220001,43.939713,41649700
2023-01-17,43.840000,44.369999,43.180000,44.119999,43.840343,25473900
2023-01-18,43.959999,44.610001,43.299999,43.380001,43.105038,20278000
2023-01-19,42.910000,43.200001,42.520000,42.950001,42.677765,18565300
2023-01-20,43.080002,43.939999,42.759998,43.919998,43.641613,23237200
2023-01-23,43.939999,45.180000,43.869999,45.029999,44.744576,19692000
2023-01-24,44.910000,45.200001,44.369999,44.450001,44.168255,13697200
2023-01-25,44.049999,45.419998,44.029999,45.340000,45.052612,17285300
2023-01-26,45.529999,45.900002,45.160000,45.810001,45.519634,16724600
2023-01-27,45.810001,46.369999,45.810001,46.119999,45.827667,18161800
2023-01-30,45.910000,46.650002,45.810001,46.290001,45.996593,19427400
2023-01-31,46.320000,46.880001,46.060001,46.869999,46.572914,22840400
2023-02-01,46.660000,47.799999,46.470001,47.330002,47.030003,21874600
2023-02-02,47.320000,47.570000,46.430000,47.230000,47.230000,19058000
2023-02-03,47.000000,48.040001,46.950001,47.580002,47.580002,17346900
2023-02-06,47.259998,47.759998,47.150002,47.680000,47.680000,15948900
2023-02-07,47.439999,48.410000,47.349998,48.130001,48.130001,21764800
2023-02-08,47.700001,48.610001,47.610001,48.250000,48.250000,18070500
2023-02-09,48.470001,48.630001,47.490002,47.570000,47.570000,17362100
2023-02-10,47.410000,47.709999,46.980000,47.509998,47.509998,18929000
2023-02-13,47.340000,48.150002,47.130001,48.130001,48.130001,16451700
2023-02-14,47.930000,48.840000,47.750000,48.500000,48.500000,16844400
2023-02-15,47.919998,48.259998,47.700001,47.970001,47.970001,12854000
2023-02-16,47.599998,47.810001,47.189999,47.220001,47.220001,12631700
2023-02-17,47.090000,47.570000,47.020000,47.490002,47.490002,13463800
2023-02-21,47.070000,47.070000,45.970001,46.240002,46.240002,13652700
2023-02-22,45.950001,46.230000,45.689999,46.009998,46.009998,13402900
2023-02-23,46.119999,46.439999,45.790001,46.250000,46.250000,14783600
2023-02-24,45.840000,46.759998,45.700001,46.619999,46.619999,16040300
2023-02-27,46.939999,47.430000,46.720001,46.779999,46.779999,15468200
2023-02-28,46.669998,47.029999,46.540001,46.770000,46.770000,18627200
2023-03-01,46.500000,46.919998,46.250000,46.680000,46.680000,13382200
2023-03-02,46.459999,46.619999,45.380001,45.799999,45.799999,19115000
2023-03-03,46.020000,46.980000,45.910000,46.849998,46.849998,14947200
2023-03-06,46.880001,47.180000,46.509998,46.630001,46.630001,14236000
2023-03-07,46.189999,46.270000,44.119999,44.450001,44.450001,24056800
2023-03-08,44.259998,44.560001,43.599998,43.840000,43.840000,14852000
2023-03-09,43.439999,43.529999,40.830002,41.130001,41.130001,33599800
2023-03-10,40.580002,42.360001,39.730000,41.360001,41.360001,55435400
2023-03-13,39.799999,40.549999,38.209999,38.410000,38.410000,78806900
2023-03-14,41.500000,41.599998,39.369999,40.169998,40.169998,52855100
2023-03-15,38.299999,38.980000,38.080002,38.849998,38.849998,47324600
2023-03-16,38.630001,40.060001,38.150002,39.299999,39.299999,40388800
2023-03-17,38.759998,38.759998,37.529999,37.759998,37.759998,47403800
2023-03-20,38.119999,38.450001,37.450001,37.480000,37.480000,34283700
2023-03-21,38.599998,38.959999,38.360001,38.480000,38.480000,34664700
2023-03-22,38.709999,38.709999,37.189999,37.200001,37.200001,22994400
2023-03-23,37.490002,37.639999,36.509998,36.610001,36.610001,30239900
2023-03-24,36.000000,36.480000,35.250000,36.230000,36.230000,35694800
2023-03-27,37.020000,37.689999,36.959999,37.470001,37.470001,27454600
2023-03-28,37.360001,37.590000,36.869999,37.180000,37.180000,15270000
2023-03-29,37.599998,38.009998,37.299999,37.970001,37.970001,20789100
2023-03-30,38.299999,38.500000,37.169998,37.380001,37.380001,22340400
2023-03-31,37.730000,37.950001,37.310001,37.380001,37.380001,30269300
2023-04-03,37.520000,38.160000,37.400002,37.720001,37.720001,21541000
2023-04-04,37.700001,37.799999,36.389999,36.810001,36.810001,21942700
2023-04-05,36.500000,37.009998,36.270000,36.889999,36.889999,15486900
2023-04-06,37.110001,38.099998,37.060001,37.900002,37.900002,23484900
2023-04-10,37.700001,38.709999,37.610001,38.630001,38.630001,27005800
2023-04-11,38.770000,39.540001,38.709999,39.369999,39.369999,25116100
2023-04-12,39.419998,39.849998,38.889999,39.189999,39.189999,20252900
2023-04-13,39.320000,39.680000,39.040001,39.660000,39.660000,22397800
2023-04-14,39.750000,40.509998,39.119999,39.639999,39.639999,40936900
2023-04-17,39.830002,41.299999,39.560001,41.299999,41.299999,31445100
2023-04-18,41.209999,42.060001,41.139999,41.869999,41.869999,27892300
2023-04-19,41.970001,42.410000,41.790001,42.240002,42.240002,23310500
2023-04-20,41.869999,42.049999,41.450001,41.669998,41.669998,19262800
